Revenue Codes 2025,Revenue Code Description,Type Of Care
1000,Behavioral Health Accommodations – General Classification,Behavioral Health Accommodations
1001,Behavioral Health Accommodations – Residential – Psychiatric,Behavioral Health Accommodations
1002,Behavioral Health Accommodations – Residential – Chemical Dependency,Behavioral Health Accommodations
1003,Behavioral Health Accommodations – Supervised Living,Behavioral Health Accommodations
1004,Behavioral Health Accommodations – Halfway House,Behavioral Health Accommodations
1005,Behavioral Health Accommodations – Group Home,Behavioral Health Accommodations
1006,Behavioral Health Accomodations – Outdoor Wilderness Behavioral Health (Effective 7/1/17),Behavioral Health Accommodations
2101,Alternative Therapy Services – Acupuncture,Alternative Therapy Services
2102,Alternative Therapy Services – Acupressure,Alternative Therapy Services
2103,Alternative Therapy Services – Massage,Alternative Therapy Services
2104,Alternative Therapy Services – Reflexology,Alternative Therapy Services
2105,Alternative Therapy Services – Biofeedback,Alternative Therapy Services
2106,Alternative Therapy Services – Hypnosis,Alternative Therapy Services
2109,Alternative Therapy Services – Other,Alternative Therapy Services
3101,"Adult Care – Adult Day Care, Medical and Social – Hourly",Adult Care Services
3102,"Adult Care – Adult Day Care, Social – Hourly",Adult Care Services
3103,"Adult Care – Adult Day Care, Medical and Social – Daily",Adult Care Services
3104,"Adult Care – Adult Day Care, Social – Daily",Adult Care Services
3105,Adult Care – Adult Foster Care – Daily,Adult Care Services
3109,Adult Care – Other,Adult Care Services
